[LOG] 2017-01-05 0:00:02 mkdir SUCCESS
[PUR_PRICE] 2017-01-05 10:15:22 PRINT SUCCESS
[PUR_PRICE] 2017-01-05 10:21:37 AFTER SUCCESS
[PUR_PRICE] 2017-01-05 10:44:42 AFTER SUCCESS
[PUR_PRICE] 2017-01-05 10:52:47 AFTER SUCCESS
[PUR_PRICE] 2017-01-05 11:16:02 AFTER SUCCESS
[PUR_PRICE] 2017-01-05 11:25:22 AFTER SUCCESS
[PUR_PRICE] 2017-01-05 11:48:38 AFTER SUCCESS
[PUR_PRICE] 2017-01-05 19:31:01 AFTER SUCCESS
[PUR_PRICE] 2017-01-05 19:32:11 AFTER SUCCESS
[PUR_PRICE] 2017-01-05 19:38:11 AFTER SUCCESS
[PUR_PRICE] 2017-01-05 19:41:36 AFTER SUCCESS
[PUR_PRICE] 2017-01-05 19:41:51 AFTER SUCCESS
[PUR_PRICE] 2017-01-05 19:59:21 AFTER SUCCESS
[PUR_PRICE] 2017-01-05 19:59:26 AFTER SUCCESS
[PUR_PRICE] 2017-01-05 20:02:36 AFTER SUCCESS
[PUR_PRICE] 2017-01-05 20:12:27 AFTER SUCCESS
[PUR_PRICE] 2017-01-05 20:16:07 AFTER SUCCESS
